Order ID,Order_Date,Order_Mode,Customer_ID,City,Postal_Code,Country,Region,Product_ID,Product_Name,Category,Segment,Sub_Category,Sales,Cost_Price,Quantity,Discount
BXL-765518,7/17/2023 0:00,In-Store,BK071541,Norton,S8,England,Yorkshire and the Humber,01JZ3NC4E4T39BCJHNB2C74YH7,Radish Chips,Food , Snacks,Savory Snacks,2.04,0.367,7,0.08
BYK-115838,4/8/2024 0:00,Online,BZ041321,Norton,S8,England,Yorkshire and the Humber,01JZ3NC83Z4TA60GE9GAYT5M05,Kids' Science Experiment Kit,Toys,Toys,Educational Toys,29.99,8.997,4,0
BZP-444935,1/29/2025 0:00,In-Store,YL039169,Norton,S8,England,Yorkshire and the Humber,01JZ3NR6KYKMXCDMAYJH7KG8ZH,Garden Tool Set with Carrying Bag,Garden,Garden,Garden Tools,41.41,16.996,10,0.14
CCO-500591,9/9/2024 0:00,In-Store,GE015518,Norton,S8,England,Yorkshire and the Humber,01JZ3NR35HDFH05EMRR8KAYZ4Y,Smart WiFi Plug,Smart Home,Smart Home,Smart Plugs & Outlets,19.99,7.996,7,0.07
CEL-088422,1/13/2024 0:00,In-Store,FH015492,Norton,S8,England,Yorkshire and the Humber,01JZ3N53A64TW72TVK28SMMXKX,Children's Backpack,Accessories,Accessories,Kids' Bags,29.99,8.997,10,0.23
CHI-297457,8/20/2023 0:00,Online,UF069653,Norton,S8,England,Yorkshire and the Humber,01JZ3NTFM3CS7VC8D7ZFNQ2DY3,Art Supplies Organizer,Art Supplies,Art Supplies,Storage & Organization,18.24,7.346,13,0.05
CJG-066076,9/8/2024 0:00,Online,DV044743,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC5YHYGV5J9NQ35BWZ3DQ,Set of Measuring Spoons,Kitchen,Kitchen,Kitchen Gadgets,12.99,3.897,7,0.03
CJQ-882707,1/26/2025 0:00,Online,IK020923,Norton,S8,England,Yorkshire and the Humber,01JZ3NCBZHEDY6RDBDZH0W7FSG,Travel Mug with Leak-Proof Lid,Kitchen,Kitchen,Drinkware,26.41,8.497,6,0.13
CKA-163484,10/23/2023 0:00,Online,MJ023223,Norton,S8,England,Yorkshire and the Humber,01JZ3NCH34Q66T8FMPAAQMK19N,Folding Pocket Knife,Tools,Tools,Hand Tools,24.14,6.997,13,0.08
CKV-317644,1/4/2025 0:00,In-Store,LT061731,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCBCXA7X8WDKR93G54VMX,Smart Home Hub,Smart Home,Smart Home,Home Automation,101.41,30.997,8,0.08
CPY-469578,7/18/2023 0:00,Online,JP001928,Norton,S8,England,Yorkshire and the Humber,01JZ3NC7SAENTXZE1B7M2XXDPD,Herb Garlic Butter,Food , Condiments,Herbal Butters,3.14,0.697,8,0.09
CQH-223704,12/3/2023 0:00,In-Store,BD065123,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NTN6XZZARVY8YDCF9GBBH,Shower Curtain Hooks,Home,Home,Home Organization,12.14,4.696,13,0.02
CRX-116680,2/8/2024 0:00,Online,IA068747,Norton,S8,England,Yorkshire and the Humber,01JZ3NC59037VKTEE9G8GXYVNR,Vegetarian Sausage Links,Food , Meat Substitutes,Plant-Based Meats,5.89,1.767,8,0.36
CYH-900875,10/13/2024 0:00,In-Store,SB001054,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR0C89AXMBXXMQN9G2C5D,Water-Resistant Bluetooth Speaker,Audio,Audio,Portable Speakers,60.99,23.996,19,0.19
DJD-137431,8/12/2023 0:00,Online,TL081462,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC8P55Q7V3MNQBVEX2QYW,Vegan chocolate chip cookies,Food , Bakery,Vegan Baked Goods,3.94,0.937,14,0.25
DLB-884107,1/18/2023 0:00,In-Store,SV026652,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5A5XQYV0EA0BXXHP6TE8,Homestyle Beef Stew,Food , Canned Soups,Soups,7.14,1.897,7,0.13
DLO-655864,6/26/2023 0:00,In-Store,EL013253,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCADXE3ZGJWZFJN1Y3Q2R,Lemon Sorbet,Food , Frozen Desserts,Fruity Frozen Desserts,4.24,1.247,6,0.01
DQB-881348,9/15/2023 0:00,In-Store,XN095451,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCA45T0SWY9X1ABERCAAT,Pineapple Teriyaki Chicken Mix,Food , Meat,Marinades and Sauces,6.14,1.597,4,0.17
DQX-946455,1/20/2025 0:00,Online,KP075796,Norton,S8,England,Yorkshire and the Humber,01JZ3NC9PRZKNNS40487M49PPW,Veggie Lovers Pizza,Food , Frozen Foods,Frozen Pizza,10.41,3.697,18,0.14
DTD-823384,1/2/2025 0:00,Online,OK062011,Norton,S8,England,Yorkshire and the Humber,01JZ3NR39VFZ49AG2DR66SQHN1,Crispy Chickpeas,Food , Snacks,Healthy Snacks,4.41,2.196,1,0.17
DTN-415183,1/31/2023 0:00,In-Store,LC067891,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR3Z2A6WPJMZT88JY0JPX,Thai Red Curry Paste,Food , Condiments,Asian Condiments,3.24,1.346,4,0.06
DUL-046978,6/18/2024 0:00,Online,BH069063,Norton,S8,England,Yorkshire and the Humber,01JZ3NC4NWZFD6Q40ZPNP4AD1X,Cauliflower Gnocchi,Food , Frozen Foods,Frozen Vegetarian Meals,3.59,1.077,1,0.36
DUW-899419,2/19/2023 0:00,In-Store,UO042002,Norton,S8,England,Yorkshire and the Humber,01JZ3NR3Z2A6WPJMZT88JY0JPX,Thai Red Curry Paste,Food , Condiments,Asian Condiments,3.14,1.096,14,0.19
EAY-756531,6/24/2023 0:00,Online,GF053527,Norton,S8,England,Yorkshire and the Humber,01JZ3N59KT1YCF6Y9TEHKZP47M,Apple Cinnamon Breakfast Muffins,Food , Bakery,Muffins,2.64,0.547,16,0.37
EEX-901968,3/19/2024 0:00,Online,DB021569,Norton,S8,England,Yorkshire and the Humber,01JZ3NC426DZDWH4QXMBSVR6JJ,Non-Stick Crepe Pan,Kitchen,Kitchen,Cookware,29.99,8.997,18,0.38
EJD-524499,11/8/2024 0:00,Online,QO092485,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NTJZ332YFTVY91E4CRWZD,Cream Cheese,Food , Dairy,Dairy Spreads,2.69,1.076,5,0.05
EMS-291791,10/6/2024 0:00,Online,KJ085718,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N574394E90ZR1N2YGNE0V,Sweet Cherry Tomatoes,Food , Produce,Fruits & Vegetables,2.99,0.897,10,0.32
ENC-678237,2/14/2025 0:00,In-Store,VZ013231,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCGGXXMBZZ5B2PFCX07JX,Pet Travel Backpack Carrier,Pets,Pets,Travel Accessories,51.41,15.997,3,0.07
ENV-025259,3/24/2024 0:00,Online,IR094031,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NTPZR31JG9JMFGGH243ZD,Garden Hose,Garden,Garden,Garden Supplies,33.99,13.196,16,0.15
ETT-348862,3/1/2024 0:00,In-Store,ZU040871,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N588VEBT87N46EEDWTDEZ,Organic Apples,Food , Produce,Fruits,1.89,0.567,18,0.04
EUN-903474,5/9/2023 0:00,Online,WW007177,Norton,S8,England,Yorkshire and the Humber,01JZ3N5AV7X1ZZZ71A2NH6GFF2,Telescope,Outdoor,Outdoor,Outdoor Accessories,159.14,47.497,1,0.12
EUT-090919,12/23/2024 0:00,Online,YG067723,Norton,S8,England,Yorkshire and the Humber,01JZ3N5AC0D5X1TV006TDM1FS9,Coconut Curry Sauce,Food , Sauces,Ethnic Sauces,3.89,1.167,2,0.22
EYF-896803,12/28/2024 0:00,Online,XY049960,Norton,S8,England,Yorkshire and the Humber,01JZ3NTJ452FDNRHF7B3YYJYP1,Beach Cover-Up,Clothing , Swimwear,Swimwear Accessories,30.99,11.996,14,0.09
FDE-020833,6/27/2023 0:00,Online,IX093256,Norton,S8,England,Yorkshire and the Humber,01JZ3NR56C40JGMKTG54CSVXBZ,Brussels Sprouts,Food , Produce,Vegetables,2.74,1.146,15,0.01
FKF-604401,7/20/2024 0:00,In-Store,MG026043,Norton,S8,England,Yorkshire and the Humber,01JZ3NC9DBPZ34QVC5NRWW5GDP,Laptop Backpack,Accessories,Accessories,Bags,70.99,20.997,11,0.09
FPG-482101,12/20/2023 0:00,Online,JT017504,Norton,S8,England,Yorkshire and the Humber,01JZ3NC9D2ZKCT24CHYFFVP4AQ,Cranberry Almond Biscotti,Food , Bakery,Cookies,3.44,1.007,9,0.03
FQM-130389,9/10/2024 0:00,Online,UI094785,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5AN1TW6NXF98MKZSD6Y2,Lightweight Travel Backpack,Travel,Travel,Travel Accessories,39.99,11.997,10,0.07
FRC-390121,6/12/2024 0:00,Online,MX008191,Norton,S8,England,Yorkshire and the Humber,01JZ3NTF5C617JTFPGHW671NRB,Vegetable Samosas,Food , Frozen,Frozen Snacks,5.99,1.996,5,0
FVX-472289,9/3/2024 0:00,In-Store,QX062132,Norton,S8,England,Yorkshire and the Humber,01JZ3NCGQ36E68JB5GX4M7DZD2,Memory Foam Mattress Pad,Home,Home,Bedding & Linens,70.99,20.997,7,0.15
FWV-502782,9/3/2024 0:00,Online,DF076925,Norton,S8,England,Yorkshire and the Humber,01JZ3N53TRMVHA7QGZFRK4NPM0,Traditional Hummus,Food , Dips,Mediterranean Dips,3.29,0.987,16,0.05
FYB-126748,6/25/2024 0:00,Online,BE082748,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCF6T1MNH9QP2HAPB59JX,Compact Dishwasher,Home Appliances,Home Appliances,Dishwashers,300.99,89.997,20,0.1
GAD-338867,7/17/2024 0:00,Online,UZ034387,Norton,S8,England,Yorkshire and the Humber,01JZ3NC5TEFNQZK38FKHYTP5XK,Ultraviolet Phone Sanitizer,Health,Health,Health Devices,39.99,11.997,7,0.01
GBJ-518839,2/9/2023 0:00,Online,MS053932,Norton,S8,England,Yorkshire and the Humber,01JZ3NTDAE28TACRQ6FRW7GNVJ,Gluten-Free Biscuits,Food , Baking,Baking Ingredients,3.04,1.266,10,0.05
GBP-383683,3/9/2024 0:00,In-Store,MB001039,Norton,S8,England,Yorkshire and the Humber,01JZ3N5A78V9X3SS3C0XVCXX5K,Vintage Graphic Tee,Clothing , Tops,Graphic Tees,25.99,7.797,15,0.04
GGU-770882,2/8/2023 0:00,In-Store,VL010206,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5ASTAARJSB7EYT0BVK43,Wireless Printer,Office,Office,Printers & Scanners,99.14,29.497,14,0.21
GJK-542645,1/19/2024 0:00,Online,RM099500,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NTK84AZRGP5R1ZZ518QC7,Compact Digital Camera,Photography,Photography,Digital Cameras,249.99,99.996,19,0.32
GJU-235938,3/28/2025 0:00,Online,FR010822,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NRACBB329VP9C95786FR9,Wooden Blocks,Toys,Toys,Building Toys,26.41,10.996,5,0.04
GLB-689772,6/23/2023 0:00,Online,XV019141,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR1EGMCKGGS1Z4AS5NNCY,Maple Cinnamon Granola Bars,Food , Snacks,Healthy Snacks,2.64,0.896,5,0.19
GMS-484354,12/26/2024 0:00,In-Store,QJ021663,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N57SACETTYDA5ER0M3SKC,Vegetable Quinoa Bowl,Food , Frozen Meals,Frozen Grain Bowls,5.99,1.797,2,0.2
GRO-170612,2/1/2023 0:00,Online,VZ013231,Norton,S8,England,Yorkshire and the Humber,01JZ3N56HFTE775PPJ6A4DC45C,Belted Trench Coat,Clothing , Outerwear,Coats,88.99,26.447,15,0.13
HAW-429218,4/28/2023 0:00,In-Store,ZF096387,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N59MRW22XNQ7NY70KAA5F,Basic V-Neck T-Shirt,Clothing , Tops,T-Shirts,19.14,5.497,15,0.35
HBV-652913,12/1/2023 0:00,Online,FB065898,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N51QV722R4929KB8EHNZ0,Chicken Broth,Food , Canned Goods,Soups & Broths,1.49,0.197,12,0
HBX-420172,2/12/2023 0:00,Online,JX027350,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5251JPAGQSNDZ381DJ2D,Avocado Oil Mayo,Food , Condiments,Dips & Spreads,4.29,1.037,14,0
HEW-427468,2/26/2025 0:00,Online,GF041209,Norton,S8,England,Yorkshire and the Humber,01JZ3N59TT5SX2J91VDNF2PCSZ,Smoked Paprika,Food , Spices,Seasoning Blends,2.99,0.897,5,0.14
HFF-622514,1/13/2023 0:00,Online,HJ006190,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NSYPS4KNEXR3HE5743MHX,Adjustable Pedicure Footrest,Beauty,Beauty,Nail Care,39.14,15.496,3,0.26
HIR-740372,11/26/2023 0:00,Online,EV090988,Norton,S8,England,Yorkshire and the Humber,01JZ3NR15D0D1WSXY0F50C7QAZ,Californian Raisins,Food , Dried Fruits,Dried Fruits,2.44,1.026,10,0.07
HIS-071352,10/20/2024 0:00,In-Store,FF013421,Norton,S8,England,Yorkshire and the Humber,01JZ3NC8NBH33N1Y34AMNXHRXQ,Cookbook,Books,Books,Cookbooks & Nutrition,27.99,8.397,3,0.19
HRI-836333,11/11/2023 0:00,Online,SS091192,Norton,S8,England,Yorkshire and the Humber,01JZ3NT9VAREEHDDSARDB9878N,Insulated Lunch Box,Kitchen,Kitchen,Food Storage Solutions,24.14,9.496,7,0.3
HRR-975636,11/3/2023 0:00,Online,JF074393,Norton,S8,England,Yorkshire and the Humber,01JZ3NC3XC2CXCE1TCQ4EFH29K,Laptop Sleeve,Accessories,Accessories,Laptop Accessories,24.14,6.997,13,0.29
HSQ-969944,12/27/2023 0:00,Online,IS060028,Norton,S8,England,Yorkshire and the Humber,01JZ3NC7RSRRGQPSTZG8CM8CM1,Protein Powder,Fitness,Fitness,Nutritional Supplements,44.14,12.997,20,0.34
HUT-691561,7/12/2024 0:00,In-Store,EH051958,Norton,S8,England,Yorkshire and the Humber,01JZ3NT0G2KA577CYDQJYBPM01,Whole Roasted Chicken,Food ,Food ,Poultry,9.99,3.996,3,0.02
HVV-847799,5/2/2023 0:00,In-Store,SE083704,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NQZDK24WFSSXVFHGP6HXZ,Pet Grooming Scissors,Pets,Pets,Grooming Supplies,16.14,6.296,15,0
HWS-643109,2/19/2024 0:00,Online,PA071665,Norton,S8,England,Yorkshire and the Humber,01JZ3NSXE35Z34M8H10PDM6VAZ,High-Low Hem Tee,Clothing , Tops,T-Shirts,23.99,9.196,11,0.08
HXQ-014093,9/24/2023 0:00,Online,GT096217,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N59AEZ6J274EBN5X9QM66,Smart Plug,Smart Home,Smart Home,Home Automation Accessories,19.14,5.497,19,0
HXT-107689,9/4/2024 0:00,In-Store,IF077277,Norton,S8,England,Yorkshire and the Humber,01JZ3NCF2BEE914G4J9TPM5JTG,Carrot Sticks,Food , Produce,Vegetable Snacks,3.49,0.747,11,0.12
HYZ-588970,11/19/2024 0:00,In-Store,LT091754,Norton,S8,England,Yorkshire and the Humber,01JZ3N57YDZPK47PAHKPFQY93W,Car Sunshade,Automotive,Automotive,Automotive Accessories,19.99,5.997,13,0.28
HZK-061343,9/26/2024 0:00,Online,PU001485,Norton,S8,England,Yorkshire and the Humber,01JZ3N5ABGS0A456R3MD9KS46E,Mediterranean Chickpea Salad,Food , Salads,Healthy Salads,5.99,1.797,14,0.37
IAP-993551,2/17/2025 0:00,In-Store,KP075796,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR2KJY70Y4F98H8RM1CBV,Vegetable Sushi Rolls,Food , Prepared Meals,Healthy Snacks,7.41,3.396,11,0.13
IDR-187647,7/16/2024 0:00,Online,YR079674,Norton,S8,England,Yorkshire and the Humber,01JZ3N58AF9KYNNJ5H9FBMVD62,Board Game Storage,Toys,Toys,Game Accessories,19.99,5.997,19,0.06
IFA-355481,4/6/2024 0:00,Online,EU081196,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC4X9MMDB075GX5MCGT85,Silicone Cooking Utensils Set,Kitchen,Kitchen,Cooking Tools & Utensils,34.99,10.497,15,0.38
INS-143663,9/3/2023 0:00,Online,GJ039175,Norton,S8,England,Yorkshire and the Humber,01JZ3NQZGM9X9PTNAMQTDNQDJ1,Puzzle Game Set,Toys,Toys,Board Games,34.24,13.746,16,0.03
ISB-905785,2/25/2025 0:00,In-Store,IE054962,Norton,S8,England,Yorkshire and the Humber,01JZ3N5A9Y973PXCPV8G5DVQ0B,Balsamic Fig Dressing,Food , Condiments,Dressing,3.79,1.137,13,0.37
IVS-534155,7/16/2023 0:00,Online,AH010274,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N59XXT5RYW63PFTYD0X7M,Watering Can with Nozzle,Garden,Garden,Garden Tools,19.99,5.997,3,0.03
IWS-171313,7/10/2023 0:00,Online,CY035064,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC6DW6859B60Y5N36WMQ5,Honey Nut Cheerios,Food , Cereal,Cereals,3.44,0.787,4,0.13
IYN-474987,5/9/2023 0:00,Online,LA098205,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N58ENE0F4V2C9M7WTVDP6,Cheesy Cauliflower Bake,Food , Frozen Vegetables,Frozen Vegetable Dishes,4.64,1.147,10,0.1
IYP-038566,2/5/2023 0:00,In-Store,SL019932,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR5XJK5CTEG8C6G9DN2CD,Chocolate Coconut Granola,Food , Cereals,Granola,3.04,1.266,17,0.04
IYU-649247,1/26/2023 0:00,Online,PC009344,Norton,S8,England,Yorkshire and the Humber,01JZ3NC8N2B55376W0KPHKFMTK,Noise-Canceling Headphones,Audio,Audio,Headphones,119.99,35.997,1,0.11
JGW-051268,10/25/2024 0:00,In-Store,SD004526,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC5P0WG8FE82HBSRDWF2Q,Pet Water Fountain,Pets,Pets,Pet Supplies,39.99,11.997,17,0.34
JLV-100137,5/9/2024 0:00,Online,EH033381,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N58D1H163PK6S4JQGCWEY,Bluetooth Tracker,Accessories,Accessories,Tech Accessories,19.99,5.997,11,0.1
JOB-086233,12/30/2023 0:00,In-Store,CI048769,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NRAQ8V1TNRB59CM2DTE39,Coffee Maker,Kitchen,Kitchen,Beverage Appliances,89.24,35.746,1,0
JSM-122623,6/28/2024 0:00,In-Store,ZO047287,Norton,S8,England,Yorkshire and the Humber,01JZ3N59YJXC13FGSZDTDNQ6H9,Rice Noodles,Food , Grains,Pasta,3.49,1.047,14,0.33
JTG-961090,8/29/2024 0:00,Online,TU039036,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N51Z9VSARSSSETS0K8RKF,Greek Yogurt,Food , Dairy,Yogurt,1.99,0.597,14,0.19
JTS-089355,4/21/2024 0:00,Online,QA089218,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCB2624NF7A7G8RRSPATS,Mixed Nuts,Food , Snacks,Nuts and Trail Mix,6.99,1.797,11,0.19
JTU-776009,7/6/2024 0:00,Online,ZI048667,Norton,S8,England,Yorkshire and the Humber,01JZ3N580GP6WJS6WN8KBA67S3,Compact Electric Kettle,Kitchen,Kitchen,Small Appliances,29.99,8.997,11,0.31
JUH-543444,10/12/2023 0:00,In-Store,GF053527,Norton,S8,England,Yorkshire and the Humber,01JZ3N59KT1YCF6Y9TEHKZP47M,Apple Cinnamon Breakfast Muffins,Food , Bakery,Muffins,2.64,0.547,7,0.01
JVM-622882,11/24/2023 0:00,In-Store,QD064688,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC4EH0H9THYTPFRW0WFGX,Hiking Water Bottle with Filter,Outdoor,Outdoor,Outdoor Accessories,29.14,8.497,18,0.24
JWH-838061,7/27/2024 0:00,In-Store,TW023701,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5519WGMKBKJ806V54SNA,Chino Shorts,Clothing ,Clothing ,Bottoms,34.99,10.497,15,0.27
JWL-443647,3/26/2025 0:00,In-Store,IA056476,Norton,S8,England,Yorkshire and the Humber,01JZ3NSXFNNKZ42D4KCN7Y9GSJ,Green Smoothie Mix,Food ,Food ,Health Drinks,7.41,3.396,13,0.1
JXK-435939,5/7/2023 0:00,Online,GC074723,Norton,S8,England,Yorkshire and the Humber,01JZ3NC67DJVQRHTTH40ZERK3Z,Body Pillow Case,Home,Home,Bedding & Linens,14.14,3.997,18,0.21
JXR-337492,1/19/2024 0:00,In-Store,AM053527,Norton,S8,England,Yorkshire and the Humber,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,Food , Prepared Foods,International Cuisine,5.79,1.737,8,0.25
KDJ-004930,7/10/2024 0:00,In-Store,RL011860,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N57FQSGSSG054APGZX04B,Pet Travel Bed,Pets,Pets,Travel Accessories,26.99,8.097,11,0.2
KFK-407854,5/5/2024 0:00,Online,WI096964,Norton,S8,England,Yorkshire and the Humber,01JZ3NTB9HP5CTCTBSZ5763SPE,Ergonomic Gaming Chair,Gaming,Gaming,Gaming Accessories,199.99,79.996,10,0.39
KFO-800995,2/9/2025 0:00,Online,CX029462,Norton,S8,England,Yorkshire and the Humber,01JZ3NCDJB231G033HHJRQNR2V,Multicolored LED Strip Lights,Home,Home,Lighting & Lamps,31.41,9.997,4,0.14
KGI-219987,6/19/2024 0:00,Online,LT063474,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N532B4S3S4KC6ED2FSAGB,Camping Tent,Outdoor,Outdoor,Camping Equipment,79.99,23.997,17,0.34
KGK-618745,2/16/2024 0:00,Online,YF060077,Norton,S8,England,Yorkshire and the Humber,01JZ3NTKKZWA3CX7F820HPW61R,Strawberry Banana Smoothie Pack,Food , Frozen,Frozen Snacks,5.99,1.996,20,0.09
KLE-148465,2/15/2023 0:00,In-Store,GU016823,Norton,S8,England,Yorkshire and the Humber,01JZ3NCB39P387B0FKST4RDJWP,Eggs (dozen),Food , Dairy,Eggs,2.24,0.647,10,0.06
KLE-485895,2/9/2025 0:00,In-Store,KS066223,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NCATB7DPT7B8N67YKQEDG,Rechargeable Electric Toothbrush,Health,Health,Oral Care & Hygiene,51.41,15.997,11,0.19
